jp,meaning
は,topic particle
が,subject particle
を,direct object particle
に,particle: time/direction/target/indirect object
で,particle: place of action/means
と,particle: with/and (exhaustive list)
も,particle: also/too
の,possessive particle / nominalizer
から,particle: from/since (place, time, reason)
まで,particle: until/up to
や,particle: and (non-exhaustive list)
へ,particle: direction (to)
か,question particle
ね,sentence-final particle: seeking agreement
よ,sentence-final particle: emphasis/new info
です,copula: to be (polite, affirmative present)
ではありません,copula: to not be (polite, negative present, formal)
じゃありません,copula: to not be (polite, negative present, casual)
でした,copula: was/were (polite, affirmative past)
ではありませんでした,copula: was not (polite, negative past)
〜ます,polite non-past affirmative verb form
〜ません,polite non-past negative verb form
〜ました,polite past affirmative verb form
〜ませんでした,polite past negative verb form
〜ましょう,let's do ~ (polite volitional)
〜ましょうか,shall I/we ~?
〜て（て形）,te-form: connecting actions / requests
〜てください,please do ~
〜てもいいです,it's okay to do ~ / may do ~
〜てはいけません,must not do ~
〜ています,is doing ~ / ongoing action or resulting state
〜てから,after doing ~
〜てみます,to try doing ~
〜ておきます,to do ~ in advance / leave as is
〜てしまいます,to finish doing ~ / regrettably do ~
〜てあげます,to do ~ for someone (giving)
〜てくれます,someone does ~ for me (receiving)
〜てもらいます,to have someone do ~ for me (receiving)
〜ないでください,please don't do ~
〜なくてもいいです,don't have to do ~
〜なければなりません,must do ~
〜なくてはいけません,must do ~
〜ないほうがいいです,it's better not to do ~
〜たいです,want to do ~
〜たくないです,don't want to do ~
〜たがっています,someone else wants to do ~
〜つもりです,intend to do ~
〜たことがあります,have done ~ before (experience)
〜たり〜たりします,doing things like ~ and ~ (partial listing)
〜たあとで,after doing ~
〜たほうがいいです,it's better to do ~
〜まえに,before doing ~
〜ながら,while doing ~ (simultaneous actions)
〜ことができます,can do ~ / to be able to
〜ことがあります,there are times when ~ / sometimes
〜でしょう,probably ~ / I guess ~
〜かもしれません,might be ~ / maybe
〜と思います,I think that ~
〜そうです,looks like ~ / seems (appearance)
〜んです,explanatory: it is that ~
という,called ~ / that is said to be ~
〜すぎます,too much ~ / excessively
〜やすいです,easy to do ~
〜にくいです,hard to do ~
〜より,comparison: more than ~
〜のほうが,comparison: ~ is more (of the two)
〜ほど〜ない,not as ~ as
〜くなります,to become ~ (i-adjective change)
〜になります,to become ~ (na-adjective/noun change)
〜くします,to make something ~ (i-adjective)
〜にします,to make something ~ (na-adjective/noun)
〜くて,te-form of i-adjectives: connecting
〜で（な形容詞）,te-form of na-adjectives: connecting
〜ば,conditional: if ~
〜たら,conditional: if/when ~
と（条件）,conditional: when/if ~ (natural consequence)
〜なら,conditional: if it's the case that ~
〜が好きです,to like ~
〜が嫌いです,to dislike ~
〜がほしいです,want (a thing)
〜が上手です,to be good at ~
〜が下手です,to be bad at ~
〜がわかります,to understand ~
あげます,to give
もらいます,to receive
くれます,to give (to me/in-group)
〜から（理由）,because ~ (reason)
〜ので,because ~ (softer, objective reason)
疑問詞+か,some- (someone, something, somewhere)
疑問詞+も,none / not any (with negative verb)
